"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/12/18, 4:02:12 PM"


32
u,s
-0.00642546,0.142914,
0.222795,0.0603434,
0.436940,0.0245613,
0.651078,0.0114927,
0.868229,0.00566111,
0.988868,0.00389384,
1.09442,0.00304525,
1.23616,0.00236419,
1.39298,0.00198246,
1.51662,0.00184221,
1.63724,0.00181539,
1.79404,0.00184902,
2.04131,0.00205664,
2.29460,0.00232993,
2.57504,0.00262023,
2.85548,0.00275840,
3.18417,0.00277878,
3.49778,0.00260125,
3.94107,0.00218129,
4.35119,0.00172484,
4.84876,0.00125354,
5.28301,0.000917723,
5.80471,0.000647671,
6.13039,0.000537157,
6.62193,0.000432619,
6.99284,0.000394714,
7.27328,0.000383304,
7.62007,0.000374968,
8.10255,0.000383328,
8.69057,0.000412531,
9.26652,0.000450523,
9.99627,0.000484851,
