"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/12/18, 3:59:18 PM"


38
u,s
-0.0118683,0.193078,
0.164269,0.100931,
0.424859,0.0360249,
0.692688,0.0126338,
0.822979,0.00808685,
0.972570,0.00514608,
1.07149,0.00400985,
1.19212,0.00318001,
1.28380,0.00274596,
1.38030,0.00248518,
1.47921,0.00232979,
1.57571,0.00222292,
1.65532,0.00222947,
1.77835,0.00224921,
1.98823,0.00245628,
2.17639,0.00272207,
2.46828,0.00306124,
2.68540,0.00332351,
2.91457,0.00343262,
3.19682,0.00344278,
3.46460,0.00328490,
3.71791,0.00301692,
4.01946,0.00265146,
4.35480,0.00221036,
4.64429,0.00185893,
4.95309,0.00150044,
5.43559,0.00108965,
5.79746,0.000882103,
6.15691,0.000733201,
6.53808,0.000633138,
6.94578,0.000576395,
7.26422,0.000553203,
7.94934,0.000549992,
8.49213,0.000583269,
9.00838,0.000618557,
9.41366,0.000657903,
9.77552,0.000673552,
9.99263,0.000685530,
