"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/11/18, 3:11:49 PM"


25
u,s
0.00124695,0.0551536,
0.102889,0.0374590,
0.220614,0.0235644,
0.317464,0.0161807,
0.447167,0.00979606,
0.569000,0.00613992,
0.683992,0.00405741,
0.797960,0.00278083,
0.890027,0.00210325,
0.960192,0.00173639,
1.00332,0.00156478,
1.05672,0.00139474,
1.10977,0.00125914,
1.16009,0.00115135,
1.20904,0.00107215,
1.26279,0.00100938,
1.34221,0.000941577,
1.39322,0.000909373,
1.46511,0.000892747,
1.61438,0.000885857,
1.71607,0.000916802,
1.80201,0.000950605,
1.87802,0.000985685,
1.95266,0.00102767,
1.99614,0.00105603,
