"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/11/18, 3:09:53 PM"


21
u,s
0.00225706,0.0470627,
0.108691,0.0316156,
0.185350,0.0236531,
0.259957,0.0178907,
0.366048,0.0120185,
0.470087,0.00819246,
0.623407,0.00465288,
0.741136,0.00304680,
0.830120,0.00225456,
0.906441,0.00174939,
0.988239,0.00134752,
1.07791,0.00102478,
1.17854,0.000780738,
1.29423,0.000588312,
1.39760,0.000475136,
1.47188,0.000419634,
1.55609,0.000372637,
1.68035,0.000322523,
1.77415,0.000298660,
1.85769,0.000285279,
1.99497,0.000268018,
