"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/11/18, 3:16:34 PM"


21
u,s
0.00216045,0.0516985,
0.133933,0.0302264,
0.243457,0.0190622,
0.379222,0.0109174,
0.550358,0.00550517,
0.714653,0.00295324,
0.844723,0.00184951,
0.940999,0.00136622,
1.01674,0.00108858,
1.07579,0.000925158,
1.14940,0.000780158,
1.23456,0.000652779,
1.32144,0.000566258,
1.39334,0.000510605,
1.47509,0.000467572,
1.55428,0.000439350,
1.64074,0.000417092,
1.73192,0.000401088,
1.83080,0.000387676,
1.92626,0.000380558,
1.99732,0.000377489,
