  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.10000000E+01  0.14843977E-11
  0.10456357E+01  0.14851040E-11
  0.10933540E+01  0.14858329E-11
  0.11432499E+01  0.14865846E-11
  0.11954229E+01  0.14873593E-11
  0.12499768E+01  0.14881569E-11
  0.13070204E+01  0.14889776E-11
  0.13666671E+01  0.14898213E-11
  0.14290359E+01  0.14906879E-11
  0.14942509E+01  0.14915771E-11
  0.15624421E+01  0.14924886E-11
  0.16337452E+01  0.14934220E-11
  0.17083022E+01  0.14943766E-11
  0.17862617E+01  0.14953518E-11
  0.18677790E+01  0.14963467E-11
  0.19530164E+01  0.14973603E-11
  0.20421436E+01  0.14983915E-11
  0.21353382E+01  0.14994389E-11
  0.22327858E+01  0.15005011E-11
  0.23346805E+01  0.15015762E-11
  0.24412252E+01  0.15026624E-11
  0.25526322E+01  0.15037575E-11
  0.26691232E+01  0.15048593E-11
  0.27909305E+01  0.15059651E-11
  0.29182965E+01  0.15070723E-11
  0.30514749E+01  0.15081779E-11
  0.31907310E+01  0.15092788E-11
  0.33363422E+01  0.15103715E-11
  0.34885984E+01  0.15114528E-11
  0.36478030E+01  0.15125189E-11
  0.38142729E+01  0.15135664E-11
  0.39883398E+01  0.15145915E-11
  0.41703504E+01  0.15155907E-11
  0.43606672E+01  0.15165606E-11
  0.45596692E+01  0.15174982E-11
  0.47677528E+01  0.15184009E-11
  0.49853324E+01  0.15192666E-11
  0.52128414E+01  0.15200942E-11
  0.54507329E+01  0.15208831E-11
  0.56994808E+01  0.15216293E-11
  0.59595804E+01  0.15223270E-11
  0.62315499E+01  0.15229706E-11
  0.65159309E+01  0.15235541E-11
  0.68132898E+01  0.15240719E-11
  0.71242189E+01  0.15245186E-11
  0.74493374E+01  0.15248890E-11
  0.77892930E+01  0.15251789E-11
  0.81447626E+01  0.15253845E-11
  0.85164544E+01  0.15255034E-11
  0.89051085E+01  0.15255348E-11
  0.93114992E+01  0.15254799E-11
  0.97364357E+01  0.15253420E-11
  0.10180765E+02  0.15251272E-11
  0.10645371E+02  0.15248345E-11
  0.11131179E+02  0.15244569E-11
  0.11639158E+02  0.15239872E-11
  0.12170319E+02  0.15234180E-11
  0.12725720E+02  0.15227418E-11
  0.13306467E+02  0.15219510E-11
  0.13913716E+02  0.15210383E-11
  0.14548678E+02  0.15199964E-11
  0.15212617E+02  0.15188188E-11
  0.15906855E+02  0.15174995E-11
  0.16632775E+02  0.15160332E-11
  0.17391823E+02  0.15144167E-11
  0.18185510E+02  0.15126510E-11
  0.19015418E+02  0.15107424E-11
  0.19883200E+02  0.15087010E-11
  0.20790583E+02  0.15065425E-11
  0.21739375E+02  0.15042891E-11
  0.22731466E+02  0.15019707E-11
  0.23768832E+02  0.14996266E-11
  0.24853539E+02  0.14972970E-11
  0.25987747E+02  0.14949793E-11
  0.27173715E+02  0.14926514E-11
  0.28413806E+02  0.14902836E-11
  0.29710489E+02  0.14878363E-11
  0.31066348E+02  0.14852584E-11
  0.32484081E+02  0.14824850E-11
  0.33966514E+02  0.14794381E-11
  0.35516599E+02  0.14760858E-11
  0.37137423E+02  0.14724455E-11
  0.38832214E+02  0.14685466E-11
  0.40604349E+02  0.14644319E-11
  0.42457356E+02  0.14601602E-11
  0.44394926E+02  0.14558096E-11
  0.46420918E+02  0.14514652E-11
  0.48539368E+02  0.14471348E-11
  0.50754495E+02  0.14427870E-11
  0.53070711E+02  0.14383788E-11
  0.55492628E+02  0.14338524E-11
  0.58025072E+02  0.14291381E-11
  0.60673085E+02  0.14242074E-11
  0.63441942E+02  0.14190663E-11
  0.66337158E+02  0.14137258E-11
  0.69364499E+02  0.14082018E-11
  0.72529995E+02  0.14025131E-11
  0.75839950E+02  0.13966515E-11
  0.79300958E+02  0.13905886E-11
  0.82919910E+02  0.13842882E-11
  0.86704016E+02  0.13777055E-11
  0.90660813E+02  0.13708093E-11
  0.94798180E+02  0.13636394E-11
  0.99124359E+02  0.13562660E-11
  0.10364797E+03  0.13487810E-11
  0.10837801E+03  0.13412329E-11
  0.11332391E+03  0.13335219E-11
  0.11849553E+03  0.13254947E-11
  0.12390315E+03  0.13169615E-11
  0.12955756E+03  0.13078516E-11
  0.13547000E+03  0.12982596E-11
  0.14165227E+03  0.12883239E-11
  0.14811666E+03  0.12781875E-11
  0.15487607E+03  0.12678400E-11
  0.16194394E+03  0.12572080E-11
  0.16933436E+03  0.12462087E-11
  0.17706205E+03  0.12348174E-11
  0.18514240E+03  0.12230365E-11
  0.19359150E+03  0.12108711E-11
  0.20242617E+03  0.11983234E-11
  0.21166403E+03  0.11853959E-11
  0.22132346E+03  0.11720927E-11
  0.23142371E+03  0.11584157E-11
  0.24198488E+03  0.11443676E-11
  0.25302803E+03  0.11299526E-11
  0.26457513E+03  0.11151762E-11
  0.27664920E+03  0.11000453E-11
  0.28927427E+03  0.10845662E-11
  0.30247550E+03  0.10687456E-11
  0.31627917E+03  0.10525809E-11
  0.33071278E+03  0.10360593E-11
  0.34580508E+03  0.10191884E-11
  0.36158613E+03  0.10020125E-11
  0.37808736E+03  0.98456269E-12
  0.39534163E+03  0.96682023E-12
  0.41338331E+03  0.94876780E-12
  0.43224834E+03  0.93042122E-12
  0.45197428E+03  0.91179967E-12
  0.47260044E+03  0.89291597E-12
  0.49416788E+03  0.87378580E-12
  0.51671956E+03  0.85442969E-12
  0.54030041E+03  0.83485597E-12
  0.56495738E+03  0.81506198E-12
  0.59073959E+03  0.79505898E-12
  0.61769839E+03  0.77486387E-12
  0.64588748E+03  0.75449406E-12
  0.67536299E+03  0.73396392E-12
  0.70618363E+03  0.71328354E-12
  0.73841080E+03  0.69245969E-12
  0.77210867E+03  0.67151688E-12
  0.80734438E+03  0.65048979E-12
  0.84418808E+03  0.62939280E-12
  0.88271317E+03  0.60823096E-12
  0.92299639E+03  0.58703401E-12
  0.96511795E+03  0.56586084E-12
  0.10091618E+04  0.54472809E-12
  0.10552155E+04  0.52364720E-12
  0.11033710E+04  0.50266593E-12
  0.11537241E+04  0.48183844E-12
  0.12063751E+04  0.46118525E-12
  0.12614288E+04  0.44074673E-12
  0.13189950E+04  0.42055385E-12
  0.13791882E+04  0.40065178E-12
  0.14421284E+04  0.38107959E-12
  0.15079409E+04  0.36185585E-12
  0.15767568E+04  0.34306451E-12
  0.16487131E+04  0.32467858E-12
  0.17239533E+04  0.30674093E-12
  0.18026270E+04  0.28929675E-12
  0.18848911E+04  0.27235902E-12
  0.19709094E+04  0.25596494E-12
  0.20608532E+04  0.24010596E-12
  0.21549016E+04  0.22481100E-12
  0.22532420E+04  0.21009285E-12
  0.23560703E+04  0.19596304E-12
  0.24635911E+04  0.18244450E-12
  0.25760188E+04  0.16951594E-12
  0.26935771E+04  0.15719078E-12
  0.28165003E+04  0.14547080E-12
  0.29450332E+04  0.13435662E-12
  0.30794318E+04  0.12384622E-12
  0.32199637E+04  0.11391961E-12
  0.33669090E+04  0.10457476E-12
  0.35205601E+04  0.95800102E-13
  0.36812233E+04  0.87581341E-13
  0.38492184E+04  0.79903469E-13
  0.40248800E+04  0.72753432E-13
  0.42085582E+04  0.66103465E-13
  0.44006186E+04  0.59937672E-13
  0.46014438E+04  0.54235260E-13
  0.48114338E+04  0.48974766E-13
  0.50310068E+04  0.44136750E-13
  0.52606002E+04  0.39694569E-13
  0.55006712E+04  0.35627118E-13
  0.57516981E+04  0.31912191E-13
  0.60141807E+04  0.28527578E-13
  0.62886419E+04  0.25451360E-13
  0.65756283E+04  0.22662575E-13
  0.68757115E+04  0.20140270E-13
  0.71894893E+04  0.17864040E-13
  0.75175865E+04  0.15814693E-13
  0.78606566E+04  0.13974027E-13
  0.82193830E+04  0.12324503E-13
  0.85944801E+04  0.10849577E-13
  0.89866950E+04  0.95338947E-14
  0.93968089E+04  0.83626706E-14
  0.98256386E+04  0.73223572E-14
  0.10274038E+05  0.64001293E-14
  0.10742901E+05  0.55842285E-14
  0.11233160E+05  0.48643153E-14
  0.11745793E+05  0.42300951E-14
  0.12281820E+05  0.36725026E-14
  0.12842310E+05  0.31832951E-14
  0.13428377E+05  0.27548367E-14
  0.14041190E+05  0.23801643E-14
  0.14681969E+05  0.20533547E-14
  0.15351991E+05  0.17688044E-14
  0.16052589E+05  0.15214141E-14
  0.16785160E+05  0.13067271E-14
  0.17551162E+05  0.11207232E-14
  0.18352121E+05  0.95983843E-15
  0.19189633E+05  0.82087023E-15
  0.20065365E+05  0.70112711E-15
  0.20981061E+05  0.59806246E-15
  0.21938546E+05  0.50948992E-15
  0.22939727E+05  0.43348352E-15
  0.23986596E+05  0.36834461E-15
  0.25081241E+05  0.31260183E-15
  0.26225840E+05  0.26498122E-15
  0.27422674E+05  0.22436028E-15
  0.28674126E+05  0.18973465E-15
  0.29982690E+05  0.16028365E-15
  0.31350970E+05  0.13524226E-15
  0.32781693E+05  0.11399091E-15
  0.34277707E+05  0.95970925E-16
  0.35841994E+05  0.80703703E-16
  0.37477667E+05  0.67807890E-16
  0.39187986E+05  0.56905104E-16
  0.40976356E+05  0.47707516E-16
  0.42846340E+05  0.39958317E-16
  0.44801661E+05  0.33428736E-16
  0.46846215E+05  0.27939605E-16
  0.48984074E+05  0.23324645E-16
  0.51219495E+05  0.19454616E-16
  0.53556932E+05  0.16213663E-16
  0.56001038E+05  0.13497649E-16
  0.58556683E+05  0.11225619E-16
  0.61228957E+05  0.93266438E-17
  0.64023182E+05  0.77402609E-17
  0.66944923E+05  0.64167584E-17
  0.70000000E+05  0.53173024E-17
  Principal QN n  Azimuthal QN l
               2               0
 Electron Energy Probability dst
  0.10000000E+01  0.61413091E-10
  0.10456357E+01  0.61426796E-10
  0.10933540E+01  0.61440692E-10
  0.11432499E+01  0.61454756E-10
  0.11954229E+01  0.61468958E-10
  0.12499768E+01  0.61483267E-10
  0.13070204E+01  0.61497648E-10
  0.13666671E+01  0.61512060E-10
  0.14290359E+01  0.61526461E-10
  0.14942509E+01  0.61540802E-10
  0.15624421E+01  0.61555031E-10
  0.16337452E+01  0.61569091E-10
  0.17083022E+01  0.61582920E-10
  0.17862617E+01  0.61596452E-10
  0.18677790E+01  0.61609616E-10
  0.19530164E+01  0.61622325E-10
  0.20421436E+01  0.61634479E-10
  0.21353382E+01  0.61645967E-10
  0.22327858E+01  0.61656671E-10
  0.23346805E+01  0.61666461E-10
  0.24412252E+01  0.61675198E-10
  0.25526322E+01  0.61682729E-10
  0.26691232E+01  0.61688894E-10
  0.27909305E+01  0.61693517E-10
  0.29182965E+01  0.61696415E-10
  0.30514749E+01  0.61697392E-10
  0.31907310E+01  0.61696240E-10
  0.33363422E+01  0.61692742E-10
  0.34885984E+01  0.61686673E-10
  0.36478030E+01  0.61677798E-10
  0.38142729E+01  0.61665877E-10
  0.39883398E+01  0.61650655E-10
  0.41703504E+01  0.61631857E-10
  0.43606672E+01  0.61609204E-10
  0.45596692E+01  0.61582417E-10
  0.47677528E+01  0.61551217E-10
  0.49853324E+01  0.61515333E-10
  0.52128414E+01  0.61474510E-10
  0.54507329E+01  0.61428512E-10
  0.56994808E+01  0.61377130E-10
  0.59595804E+01  0.61320094E-10
  0.62315499E+01  0.61257066E-10
  0.65159309E+01  0.61187719E-10
  0.68132898E+01  0.61111742E-10
  0.71242189E+01  0.61028852E-10
  0.74493374E+01  0.60938800E-10
  0.77892930E+01  0.60841386E-10
  0.81447626E+01  0.60736302E-10
  0.85164544E+01  0.60623108E-10
  0.89051085E+01  0.60501361E-10
  0.93114992E+01  0.60370622E-10
  0.97364357E+01  0.60230465E-10
  0.10180765E+02  0.60080491E-10
  0.10645371E+02  0.59920320E-10
  0.11131179E+02  0.59749565E-10
  0.11639158E+02  0.59567871E-10
  0.12170319E+02  0.59374943E-10
  0.12725720E+02  0.59170559E-10
  0.13306467E+02  0.58954599E-10
  0.13913716E+02  0.58727066E-10
  0.14548678E+02  0.58488084E-10
  0.15212617E+02  0.58237484E-10
  0.15906855E+02  0.57974831E-10
  0.16632775E+02  0.57699697E-10
  0.17391823E+02  0.57411670E-10
  0.18185510E+02  0.57110361E-10
  0.19015418E+02  0.56795419E-10
  0.19883200E+02  0.56466540E-10
  0.20790583E+02  0.56123516E-10
  0.21739375E+02  0.55766235E-10
  0.22731466E+02  0.55394695E-10
  0.23768832E+02  0.55009031E-10
  0.24853539E+02  0.54609422E-10
  0.25987747E+02  0.54195587E-10
  0.27173715E+02  0.53767051E-10
  0.28413806E+02  0.53323311E-10
  0.29710489E+02  0.52863992E-10
  0.31066348E+02  0.52388976E-10
  0.32484081E+02  0.51898237E-10
  0.33966514E+02  0.51391784E-10
  0.35516599E+02  0.50869425E-10
