  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.10000000E+01  0.35390413E-10
  0.10420978E+01  0.35398170E-10
  0.10859679E+01  0.35406128E-10
  0.11316847E+01  0.35414285E-10
  0.11793262E+01  0.35422638E-10
  0.12289732E+01  0.35431184E-10
  0.12807103E+01  0.35439917E-10
  0.13346254E+01  0.35448832E-10
  0.13908102E+01  0.35457919E-10
  0.14493603E+01  0.35467172E-10
  0.15103752E+01  0.35476577E-10
  0.15739587E+01  0.35486123E-10
  0.16402189E+01  0.35495795E-10
  0.17092686E+01  0.35505576E-10
  0.17812250E+01  0.35515447E-10
  0.18562107E+01  0.35525392E-10
  0.19343531E+01  0.35535392E-10
  0.20157852E+01  0.35545424E-10
  0.21006453E+01  0.35555465E-10
  0.21890779E+01  0.35565492E-10
  0.22812333E+01  0.35575477E-10
  0.23772682E+01  0.35585392E-10
  0.24773460E+01  0.35595206E-10
  0.25816369E+01  0.35604887E-10
  0.26903181E+01  0.35614402E-10
  0.28035747E+01  0.35623715E-10
  0.29215990E+01  0.35632781E-10
  0.30445920E+01  0.35641542E-10
  0.31727626E+01  0.35649931E-10
  0.33063290E+01  0.35657874E-10
  0.34455182E+01  0.35665291E-10
  0.35905670E+01  0.35672095E-10
  0.37417220E+01  0.35678188E-10
  0.38992403E+01  0.35683466E-10
  0.40633898E+01  0.35687813E-10
  0.42344497E+01  0.35691104E-10
  0.44127107E+01  0.35693203E-10
  0.45984762E+01  0.35693973E-10
  0.47920620E+01  0.35693294E-10
  0.49937974E+01  0.35691049E-10
  0.52040253E+01  0.35687119E-10
  0.54231034E+01  0.35681386E-10
  0.56514042E+01  0.35673734E-10
  0.58893160E+01  0.35664055E-10
  0.61372433E+01  0.35652247E-10
  0.63956078E+01  0.35638218E-10
  0.66648489E+01  0.35621896E-10
  0.69454245E+01  0.35603216E-10
  0.72378117E+01  0.35582050E-10
  0.75425078E+01  0.35558209E-10
  0.78600309E+01  0.35531500E-10
  0.81909210E+01  0.35501725E-10
  0.85357408E+01  0.35468678E-10
  0.88950769E+01  0.35432154E-10
  0.92695402E+01  0.35391945E-10
  0.96597676E+01  0.35347844E-10
  0.10066423E+02  0.35299651E-10
  0.10490197E+02  0.35247167E-10
  0.10931811E+02  0.35190210E-10
  0.11392017E+02  0.35128610E-10
  0.11871596E+02  0.35062224E-10
  0.12371364E+02  0.34990936E-10
  0.12892171E+02  0.34914630E-10
  0.13434904E+02  0.34833149E-10
  0.14000484E+02  0.34746356E-10
  0.14589873E+02  0.34654147E-10
  0.15204075E+02  0.34556463E-10
  0.15844134E+02  0.34453287E-10
  0.16511137E+02  0.34344504E-10
  0.17206220E+02  0.34229895E-10
  0.17930564E+02  0.34109250E-10
  0.18685402E+02  0.33982370E-10
  0.19472016E+02  0.33849072E-10
  0.20291745E+02  0.33709199E-10
  0.21145984E+02  0.33562591E-10
  0.22036183E+02  0.33409057E-10
  0.22963858E+02  0.33248420E-10
  0.23930587E+02  0.33080530E-10
  0.24938012E+02  0.32905274E-10
  0.25987848E+02  0.32722649E-10
  0.27081880E+02  0.32532761E-10
  0.28221967E+02  0.32335811E-10
  0.29410051E+02  0.32132071E-10
  0.30648149E+02  0.31921501E-10
  0.31938370E+02  0.31703841E-10
  0.33282905E+02  0.31478805E-10
  0.34684043E+02  0.31246121E-10
  0.36144165E+02  0.31005731E-10
  0.37665755E+02  0.30757690E-10
  0.39251401E+02  0.30502112E-10
  0.40903800E+02  0.30239182E-10
  0.42625760E+02  0.29968948E-10
  0.44420211E+02  0.29691114E-10
  0.46290205E+02  0.29405293E-10
  0.48238922E+02  0.29111277E-10
  0.50269675E+02  0.28809313E-10
  0.52385918E+02  0.28499794E-10
  0.54591251E+02  0.28182954E-10
  0.56889423E+02  0.27858628E-10
  0.59284344E+02  0.27526566E-10
  0.61780085E+02  0.27186602E-10
  0.64380892E+02  0.26838760E-10
  0.67091186E+02  0.26483094E-10
  0.69915579E+02  0.26119699E-10
  0.72858872E+02  0.25748832E-10
  0.75926071E+02  0.25370824E-10
  0.79122393E+02  0.24985712E-10
  0.82453272E+02  0.24593207E-10
  0.85924375E+02  0.24193129E-10
  0.89541603E+02  0.23785727E-10
  0.93311109E+02  0.23371341E-10
  0.97239303E+02  0.22950222E-10
  0.10133287E+03  0.22522519E-10
  0.10559876E+03  0.22088418E-10
  0.11004423E+03  0.21648267E-10
  0.11467686E+03  0.21202329E-10
  0.11950450E+03  0.20750511E-10
  0.12453538E+03  0.20292848E-10
  0.12977805E+03  0.19830004E-10
  0.13524142E+03  0.19362737E-10
  0.14093479E+03  0.18891135E-10
  0.14686783E+03  0.18415038E-10
  0.15305065E+03  0.17935396E-10
  0.15949375E+03  0.17453114E-10
  0.16620808E+03  0.16968123E-10
  0.17320508E+03  0.16480611E-10
  0.18049664E+03  0.15991111E-10
  0.18809515E+03  0.15500230E-10
  0.19601354E+03  0.15008733E-10
  0.20426529E+03  0.14517683E-10
  0.21286441E+03  0.14027679E-10
  0.22182553E+03  0.13538703E-10
  0.23116391E+03  0.13051436E-10
  0.24089540E+03  0.12566765E-10
  0.25103657E+03  0.12085366E-10
  0.26160466E+03  0.11607977E-10
  0.27261765E+03  0.11135316E-10
  0.28409425E+03  0.10668023E-10
  0.29605400E+03  0.10206794E-10
  0.30851723E+03  0.97521302E-11
  0.32150513E+03  0.93048033E-11
  0.33503979E+03  0.88657780E-11
  0.34914423E+03  0.84350256E-11
  0.36384244E+03  0.80135472E-11
  0.37915941E+03  0.76020723E-11
  0.39512120E+03  0.72009189E-11
  0.41175493E+03  0.68104781E-11
  0.42908892E+03  0.64308282E-11
  0.44715262E+03  0.60632125E-11
  0.46597677E+03  0.57075349E-11
  0.48559337E+03  0.53642695E-11
  0.50603579E+03  0.50329650E-11
  0.52733880E+03  0.47147670E-11
  0.54953861E+03  0.44093863E-11
  0.57267298E+03  0.41169483E-11
  0.59678126E+03  0.38374929E-11
  0.62190445E+03  0.35708304E-11
  0.64808527E+03  0.33172595E-11
  0.67536824E+03  0.30764473E-11
  0.70379977E+03  0.28482620E-11
  0.73342820E+03  0.26324889E-11
  0.76430392E+03  0.24289134E-11
  0.79647945E+03  0.22372508E-11
  0.83000949E+03  0.20572283E-11
  0.86495108E+03  0.18884656E-11
  0.90136363E+03  0.17305535E-11
  0.93930906E+03  0.15831479E-11
  0.97885192E+03  0.14458453E-11
  0.10200594E+04  0.13182385E-11
  0.10630017E+04  0.11999159E-11
  0.11077518E+04  0.10903204E-11
  0.11543857E+04  0.98908343E-12
  0.12029828E+04  0.89576217E-12
  0.12536258E+04  0.80997135E-12
  0.13064007E+04  0.73116722E-12
  0.13613973E+04  0.65893894E-12
  0.14187091E+04  0.59288773E-12
  0.14784337E+04  0.53261380E-12
  0.15406725E+04  0.47773142E-12
  0.16055315E+04  0.42783947E-12
  0.16731208E+04  0.38252752E-12
  0.17435555E+04  0.34150352E-12
  0.18169554E+04  0.30442138E-12
  0.18934453E+04  0.27097233E-12
  0.19731552E+04  0.24081758E-12
  0.20562207E+04  0.21370483E-12
  0.21427831E+04  0.18936794E-12
  0.22329896E+04  0.16757129E-12
  0.23269936E+04  0.14807825E-12
  0.24249549E+04  0.13066643E-12
  0.25270402E+04  0.11514346E-12
  0.26334231E+04  0.10132579E-12
  0.27442844E+04  0.89050349E-13
  0.28598128E+04  0.78159234E-13
  0.29802047E+04  0.68514615E-13
  0.31056648E+04  0.59987339E-13
  0.32364065E+04  0.52454371E-13
  0.33726521E+04  0.45811906E-13
  0.35146334E+04  0.39964500E-13
  0.36625918E+04  0.34823189E-13
  0.38167789E+04  0.30309294E-13
  0.39774570E+04  0.26351956E-13
  0.41448992E+04  0.22886875E-13
  0.43193904E+04  0.19856589E-13
  0.45012273E+04  0.17209680E-13
  0.46907191E+04  0.14900701E-13
  0.48881882E+04  0.12889124E-13
  0.50939702E+04  0.11138686E-13
  0.53084152E+04  0.96169555E-14
  0.55318879E+04  0.82954020E-14
  0.57647683E+04  0.71492385E-14
  0.60074524E+04  0.61558308E-14
  0.62603530E+04  0.52959153E-14
  0.65239002E+04  0.45524116E-14
  0.67985421E+04  0.39101007E-14
  0.70847459E+04  0.33556674E-14
  0.73829982E+04  0.28772886E-14
  0.76938063E+04  0.24651837E-14
  0.80176987E+04  0.21104606E-14
  0.83552263E+04  0.18053800E-14
  0.87069631E+04  0.15433352E-14
  0.90735072E+04  0.13182410E-14
  0.94554820E+04  0.11250933E-14
  0.98535372E+04  0.95944729E-15
  0.10268350E+05  0.81767283E-15
  0.10700625E+05  0.69628268E-15
  0.11151098E+05  0.59257367E-15
  0.11620534E+05  0.50387160E-15
  0.12109733E+05  0.42821260E-15
  0.12619527E+05  0.36360807E-15
  0.13150781E+05  0.30850732E-15
  0.13704400E+05  0.26162967E-15
  0.14281326E+05  0.22170829E-15
  0.14882538E+05  0.18780737E-15
  0.15509061E+05  0.15894492E-15
  0.16161958E+05  0.13444347E-15
  0.16842341E+05  0.11364192E-15
  0.17551367E+05  0.96001694E-16
  0.18290241E+05  0.81073621E-16
  0.19060220E+05  0.68405934E-16
  0.19862614E+05  0.57693125E-16
  0.20698787E+05  0.48638138E-16
  0.21570160E+05  0.40998509E-16
  0.22478217E+05  0.34510917E-16
  0.23424501E+05  0.29048291E-16
  0.24410621E+05  0.24435805E-16
  0.25438255E+05  0.20542684E-16
  0.26509150E+05  0.17271901E-16
  0.27625127E+05  0.14503224E-16
  0.28788085E+05  0.12175104E-16
  0.30000000E+05  0.10218413E-16
  Principal QN n  Azimuthal QN l
               2               0
 Electron Energy Probability dst
  0.10000000E+01  0.80440324E-09
  0.10420978E+01  0.80564199E-09
  0.10859679E+01  0.80692215E-09
  0.11316847E+01  0.80824441E-09
  0.11793262E+01  0.80960939E-09
  0.12289732E+01  0.81101761E-09
  0.12807103E+01  0.81246948E-09
  0.13346254E+01  0.81396532E-09
  0.13908102E+01  0.81550543E-09
  0.14493603E+01  0.81709012E-09
  0.15103752E+01  0.81871959E-09
  0.15739587E+01  0.82039390E-09
  0.16402189E+01  0.82211298E-09
  0.17092686E+01  0.82387659E-09
  0.17812250E+01  0.82568430E-09
  0.18562107E+01  0.82753548E-09
  0.19343531E+01  0.82942927E-09
  0.20157852E+01  0.83136443E-09
  0.21006453E+01  0.83333940E-09
  0.21890779E+01  0.83535227E-09
  0.22812333E+01  0.83740073E-09
  0.23772682E+01  0.83948206E-09
  0.24773460E+01  0.84159305E-09
  0.25816369E+01  0.84373074E-09
  0.26903181E+01  0.84589271E-09
  0.28035747E+01  0.84807644E-09
  0.29215990E+01  0.85027926E-09
  0.30445920E+01  0.85249835E-09
  0.31727626E+01  0.85473063E-09
  0.33063290E+01  0.85697295E-09
  0.34455182E+01  0.85922209E-09
  0.35905670E+01  0.86147367E-09
  0.37417220E+01  0.86371837E-09
  0.38992403E+01  0.86594427E-09
  0.40633898E+01  0.86813760E-09
  0.42344497E+01  0.87028288E-09
  0.44127107E+01  0.87236857E-09
  0.45984762E+01  0.87438689E-09
  0.47920620E+01  0.87633037E-09
  0.49937974E+01  0.87819197E-09
  0.52040253E+01  0.87996498E-09
  0.54231034E+01  0.88163707E-09
  0.56514042E+01  0.88318956E-09
  0.58893160E+01  0.88460161E-09
  0.61372433E+01  0.88585025E-09
  0.63956078E+01  0.88691203E-09
  0.66648489E+01  0.88777031E-09
  0.69454245E+01  0.88841105E-09
  0.72378117E+01  0.88882127E-09
  0.75425078E+01  0.88898846E-09
  0.78600309E+01  0.88889321E-09
  0.81909210E+01  0.88851187E-09
  0.85357408E+01  0.88782004E-09
  0.88950769E+01  0.88679260E-09
  0.92695402E+01  0.88540282E-09
  0.96597676E+01  0.88362319E-09
  0.10066423E+02  0.88142603E-09
  0.10490197E+02  0.87878875E-09
  0.10931811E+02  0.87569873E-09
  0.11392017E+02  0.87214684E-09
  0.11871596E+02  0.86810607E-09
  0.12371364E+02  0.86353515E-09
  0.12892171E+02  0.85841048E-09
  0.13434904E+02  0.85272957E-09
  0.14000484E+02  0.84648575E-09
  0.14589873E+02  0.83966476E-09
  0.15204075E+02  0.83225439E-09
  0.15844134E+02  0.82423649E-09
  0.16511137E+02  0.81559350E-09
  0.17206220E+02  0.80631378E-09
  0.17930564E+02  0.79639557E-09
  0.18685402E+02  0.78584540E-09
  0.19472016E+02  0.77466675E-09
  0.20291745E+02  0.76286041E-09
  0.21145984E+02  0.75043315E-09
  0.22036183E+02  0.73739564E-09
  0.22963858E+02  0.72376608E-09
  0.23930587E+02  0.70956158E-09
  0.24938012E+02  0.69480244E-09
  0.25987848E+02  0.67952040E-09
  0.27081880E+02  0.66375346E-09
