  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.10000000E+01  0.15894154E-10
  0.10456357E+01  0.15894949E-10
  0.10933540E+01  0.15895729E-10
  0.11432499E+01  0.15896488E-10
  0.11954229E+01  0.15897220E-10
  0.12499768E+01  0.15897920E-10
  0.13070204E+01  0.15898581E-10
  0.13666671E+01  0.15899193E-10
  0.14290359E+01  0.15899749E-10
  0.14942509E+01  0.15900239E-10
  0.15624421E+01  0.15900652E-10
  0.16337452E+01  0.15900977E-10
  0.17083022E+01  0.15901200E-10
  0.17862617E+01  0.15901307E-10
  0.18677790E+01  0.15901284E-10
  0.19530164E+01  0.15901113E-10
  0.20421436E+01  0.15900776E-10
  0.21353382E+01  0.15900252E-10
  0.22327858E+01  0.15899521E-10
  0.23346805E+01  0.15898558E-10
  0.24412252E+01  0.15897337E-10
  0.25526322E+01  0.15895832E-10
  0.26691232E+01  0.15894013E-10
  0.27909305E+01  0.15891847E-10
  0.29182965E+01  0.15889299E-10
  0.30514749E+01  0.15886334E-10
  0.31907310E+01  0.15882910E-10
  0.33363422E+01  0.15878987E-10
  0.34885984E+01  0.15874518E-10
  0.36478030E+01  0.15869453E-10
  0.38142729E+01  0.15863743E-10
  0.39883398E+01  0.15857331E-10
  0.41703504E+01  0.15850162E-10
  0.43606672E+01  0.15842174E-10
  0.45596692E+01  0.15833305E-10
  0.47677528E+01  0.15823491E-10
  0.49853324E+01  0.15812663E-10
  0.52128414E+01  0.15800755E-10
  0.54507329E+01  0.15787695E-10
  0.56994808E+01  0.15773408E-10
  0.59595804E+01  0.15757818E-10
  0.62315499E+01  0.15740847E-10
  0.65159309E+01  0.15722421E-10
  0.68132898E+01  0.15702465E-10
  0.71242189E+01  0.15680912E-10
  0.74493374E+01  0.15657699E-10
  0.77892930E+01  0.15632771E-10
  0.81447626E+01  0.15606077E-10
  0.85164544E+01  0.15577535E-10
  0.89051085E+01  0.15547053E-10
  0.93114992E+01  0.15514539E-10
  0.97364357E+01  0.15479910E-10
  0.10180765E+02  0.15443083E-10
  0.10645371E+02  0.15403990E-10
  0.11131179E+02  0.15362571E-10
  0.11639158E+02  0.15318780E-10
  0.12170319E+02  0.15272558E-10
  0.12725720E+02  0.15223839E-10
  0.13306467E+02  0.15172571E-10
  0.13913716E+02  0.15118717E-10
  0.14548678E+02  0.15062264E-10
  0.15212617E+02  0.15003226E-10
  0.15906855E+02  0.14941650E-10
  0.16632775E+02  0.14877625E-10
  0.17391823E+02  0.14811275E-10
  0.18185510E+02  0.14742642E-10
  0.19015418E+02  0.14671721E-10
  0.19883200E+02  0.14598519E-10
  0.20790583E+02  0.14523060E-10
  0.21739375E+02  0.14445384E-10
  0.22731466E+02  0.14365553E-10
  0.23768832E+02  0.14283644E-10
  0.24853539E+02  0.14199720E-10
  0.25987747E+02  0.14113859E-10
  0.27173715E+02  0.14026155E-10
  0.28413806E+02  0.13936725E-10
  0.29710489E+02  0.13845687E-10
  0.31066348E+02  0.13753139E-10
  0.32484081E+02  0.13659195E-10
  0.33966514E+02  0.13563976E-10
  0.35516599E+02  0.13467605E-10
  0.37137423E+02  0.13370145E-10
  0.38832214E+02  0.13271632E-10
  0.40604349E+02  0.13172077E-10
  0.42457356E+02  0.13071461E-10
  0.44394926E+02  0.12969742E-10
  0.46420918E+02  0.12866883E-10
  0.48539368E+02  0.12762813E-10
  0.50754495E+02  0.12657409E-10
  0.53070711E+02  0.12550479E-10
  0.55492628E+02  0.12441832E-10
  0.58025072E+02  0.12331417E-10
  0.60673085E+02  0.12219176E-10
  0.63441942E+02  0.12104985E-10
  0.66337158E+02  0.11988582E-10
  0.69364499E+02  0.11869586E-10
  0.72529995E+02  0.11747596E-10
  0.75839950E+02  0.11622437E-10
  0.79300958E+02  0.11493962E-10
  0.82919910E+02  0.11362002E-10
  0.86704016E+02  0.11226423E-10
  0.90660813E+02  0.11087090E-10
  0.94798180E+02  0.10943832E-10
  0.99124359E+02  0.10796491E-10
  0.10364797E+03  0.10645064E-10
  0.10837801E+03  0.10489596E-10
  0.11332391E+03  0.10330049E-10
  0.11849553E+03  0.10166299E-10
  0.12390315E+03  0.99983352E-11
  0.12955756E+03  0.98264085E-11
  0.13547000E+03  0.96507953E-11
  0.14165227E+03  0.94715969E-11
  0.14811666E+03  0.92888766E-11
  0.15487607E+03  0.91027663E-11
  0.16194394E+03  0.89136431E-11
  0.16933436E+03  0.87219199E-11
  0.17706205E+03  0.85274630E-11
  0.18514240E+03  0.83299945E-11
  0.19359150E+03  0.81300312E-11
  0.20242617E+03  0.79281581E-11
  0.21166403E+03  0.77243957E-11
  0.22132346E+03  0.75186626E-11
  0.23142371E+03  0.73111066E-11
  0.24198488E+03  0.71019489E-11
  0.25302803E+03  0.68914275E-11
  0.26457513E+03  0.66798464E-11
  0.27664920E+03  0.64676015E-11
  0.28927427E+03  0.62548609E-11
  0.30247550E+03  0.60417064E-11
  0.31627917E+03  0.58285148E-11
  0.33071278E+03  0.56157058E-11
  0.34580508E+03  0.54035673E-11
  0.36158613E+03  0.51923658E-11
  0.37808736E+03  0.49824931E-11
  0.39534163E+03  0.47744230E-11
  0.41338331E+03  0.45683194E-11
  0.43224834E+03  0.43644497E-11
  0.45197428E+03  0.41634637E-11
  0.47260044E+03  0.39655621E-11
  0.49416788E+03  0.37708863E-11
  0.51671956E+03  0.35798913E-11
  0.54030041E+03  0.33930607E-11
  0.56495738E+03  0.32105266E-11
  0.59073959E+03  0.30325544E-11
  0.61769839E+03  0.28592665E-11
  0.64588748E+03  0.26910833E-11
  0.67536299E+03  0.25283663E-11
  0.70618363E+03  0.23709804E-11
  0.73841080E+03  0.22191835E-11
  0.77210867E+03  0.20733689E-11
  0.80734438E+03  0.19333399E-11
  0.84418808E+03  0.17993146E-11
  0.88271317E+03  0.16713064E-11
  0.92299639E+03  0.15493547E-11
  0.96511795E+03  0.14334734E-11
  0.10091618E+04  0.13236192E-11
  0.10552155E+04  0.12197814E-11
  0.11033710E+04  0.11217785E-11
  0.11537241E+04  0.10295825E-11
  0.12063751E+04  0.94305591E-12
  0.12614288E+04  0.86210834E-12
  0.13189950E+04  0.78646852E-12
  0.13791882E+04  0.71601175E-12
  0.14421284E+04  0.65055190E-12
  0.15079409E+04  0.58988883E-12
  0.15767568E+04  0.53385377E-12
  0.16487131E+04  0.48213516E-12
  0.17239533E+04  0.43455877E-12
  0.18026270E+04  0.39090199E-12
  0.18848911E+04  0.35096719E-12
  0.19709094E+04  0.31448545E-12
  0.20608532E+04  0.28123985E-12
  0.21549016E+04  0.25102496E-12
  0.22532420E+04  0.22362919E-12
  0.23560703E+04  0.19884990E-12
  0.24635911E+04  0.17649596E-12
  0.25760188E+04  0.15636444E-12
  0.26935771E+04  0.13826282E-12
  0.28165003E+04  0.12204787E-12
  0.29450332E+04  0.10753672E-12
  0.30794318E+04  0.94595204E-13
  0.32199637E+04  0.83057184E-13
  0.33669090E+04  0.72804655E-13
  0.35205601E+04  0.63707545E-13
  0.36812233E+04  0.55659428E-13
  0.38492184E+04  0.48545560E-13
  0.40248800E+04  0.42274969E-13
  0.42085582E+04  0.36753986E-13
  0.44006186E+04  0.31906861E-13
  0.46014438E+04  0.27655126E-13
  0.48114338E+04  0.23935622E-13
  0.50310068E+04  0.20685837E-13
  0.52606002E+04  0.17851891E-13
  0.55006712E+04  0.15385063E-13
  0.57516981E+04  0.13240071E-13
  0.60141807E+04  0.11379376E-13
  0.62886419E+04  0.97677944E-14
  0.65756283E+04  0.83735363E-14
  0.68757115E+04  0.71696241E-14
  0.71894893E+04  0.61314055E-14
  0.75175865E+04  0.52368958E-14
  0.78606566E+04  0.44678898E-14
  0.82193830E+04  0.38077657E-14
  0.85944801E+04  0.32415520E-14
  0.89866950E+04  0.27565322E-14
  0.93968089E+04  0.23416022E-14
  0.98256386E+04  0.19870248E-14
  0.10274038E+05  0.16844096E-14
  0.10742901E+05  0.14265431E-14
  0.11233160E+05  0.12070301E-14
  0.11745793E+05  0.10202200E-14
  0.12281820E+05  0.86158362E-15
  0.12842310E+05  0.72689767E-15
  0.13428377E+05  0.61268150E-15
  0.14041190E+05  0.51595341E-15
  0.14681969E+05  0.43410112E-15
  0.15351991E+05  0.36494417E-15
  0.16052589E+05  0.30653301E-15
  0.16785160E+05  0.25721136E-15
  0.17551162E+05  0.21565948E-15
  0.18352121E+05  0.18067135E-15
  0.19189633E+05  0.15122204E-15
  0.20065365E+05  0.12646491E-15
  0.20981061E+05  0.10569742E-15
  0.21938546E+05  0.88247592E-16
  0.22939727E+05  0.73635400E-16
  0.23986596E+05  0.61372656E-16
  0.25081241E+05  0.51126416E-16
  0.26225840E+05  0.42550342E-16
  0.27422674E+05  0.35394771E-16
  0.28674126E+05  0.29431963E-16
  0.29982690E+05  0.24437333E-16
  0.31350970E+05  0.20283635E-16
  0.32781693E+05  0.16819774E-16
  0.34277707E+05  0.13938916E-16
  0.35841994E+05  0.11547666E-16
  0.37477667E+05  0.95660987E-17
  0.39187986E+05  0.79095523E-17
  0.40976356E+05  0.65366226E-17
  0.42846340E+05  0.54003890E-17
  0.44801661E+05  0.44576042E-17
  0.46846215E+05  0.36798785E-17
  0.48984074E+05  0.30345180E-17
  0.51219495E+05  0.25011708E-17
  0.53556932E+05  0.20581826E-17
  0.56001038E+05  0.16946779E-17
  0.58556683E+05  0.13925538E-17
  0.61228957E+05  0.11432439E-17
  0.64023182E+05  0.94000093E-18
  0.66944923E+05  0.77227523E-18
  0.70000000E+05  0.63339799E-18
  Principal QN n  Azimuthal QN l
               2               0
 Electron Energy Probability dst
  0.10000000E+01  0.51134121E-09
  0.10456357E+01  0.51137822E-09
  0.10933540E+01  0.51141457E-09
  0.11432499E+01  0.51144990E-09
  0.11954229E+01  0.51148381E-09
  0.12499768E+01  0.51151581E-09
  0.13070204E+01  0.51154534E-09
  0.13666671E+01  0.51157175E-09
  0.14290359E+01  0.51159432E-09
  0.14942509E+01  0.51161238E-09
  0.15624421E+01  0.51162521E-09
  0.16337452E+01  0.51163203E-09
  0.17083022E+01  0.51163196E-09
  0.17862617E+01  0.51162402E-09
  0.18677790E+01  0.51160715E-09
  0.19530164E+01  0.51158016E-09
  0.20421436E+01  0.51154173E-09
  0.21353382E+01  0.51149042E-09
  0.22327858E+01  0.51142477E-09
  0.23346805E+01  0.51134338E-09
  0.24412252E+01  0.51124481E-09
  0.25526322E+01  0.51112753E-09
  0.26691232E+01  0.51098996E-09
  0.27909305E+01  0.51083047E-09
  0.29182965E+01  0.51064737E-09
  0.30514749E+01  0.51043894E-09
  0.31907310E+01  0.51020297E-09
  0.33363422E+01  0.50993635E-09
  0.34885984E+01  0.50963560E-09
  0.36478030E+01  0.50929685E-09
  0.38142729E+01  0.50891580E-09
  0.39883398E+01  0.50848764E-09
  0.41703504E+01  0.50800717E-09
  0.43606672E+01  0.50747023E-09
  0.45596692E+01  0.50687394E-09
  0.47677528E+01  0.50621573E-09
  0.49853324E+01  0.50549340E-09
  0.52128414E+01  0.50470528E-09
  0.54507329E+01  0.50384989E-09
  0.56994808E+01  0.50292112E-09
  0.59595804E+01  0.50190852E-09
  0.62315499E+01  0.50079990E-09
  0.65159309E+01  0.49958224E-09
  0.68132898E+01  0.49824956E-09
  0.71242189E+01  0.49680043E-09
  0.74493374E+01  0.49523475E-09
  0.77892930E+01  0.49354868E-09
  0.81447626E+01  0.49173388E-09
  0.85164544E+01  0.48978146E-09
  0.89051085E+01  0.48768307E-09
  0.93114992E+01  0.48543149E-09
  0.97364357E+01  0.48301990E-09
  0.10180765E+02  0.48044186E-09
  0.10645371E+02  0.47768978E-09
  0.11131179E+02  0.47475460E-09
  0.11639158E+02  0.47162724E-09
  0.12170319E+02  0.46829893E-09
  0.12725720E+02  0.46476274E-09
  0.13306467E+02  0.46101380E-09
  0.13913716E+02  0.45704887E-09
  0.14548678E+02  0.45286559E-09
  0.15212617E+02  0.44845980E-09
  0.15906855E+02  0.44382812E-09
  0.16632775E+02  0.43896876E-09
  0.17391823E+02  0.43387923E-09
  0.18185510E+02  0.42855752E-09
  0.19015418E+02  0.42300329E-09
  0.19883200E+02  0.41721474E-09
  0.20790583E+02  0.41118939E-09
  0.21739375E+02  0.40492654E-09
  0.22731466E+02  0.39842920E-09
  0.23768832E+02  0.39170412E-09
  0.24853539E+02  0.38475940E-09
  0.25987747E+02  0.37759937E-09
  0.27173715E+02  0.37022881E-09
  0.28413806E+02  0.36265271E-09
  0.29710489E+02  0.35488132E-09
  0.31066348E+02  0.34693298E-09
  0.32484081E+02  0.33881830E-09
  0.33966514E+02  0.33054344E-09
  0.35516599E+02  0.32212016E-09
