  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.10000000E+01  0.22246517E-10
  0.10420978E+01  0.22254084E-10
  0.10859679E+01  0.22261890E-10
  0.11316847E+01  0.22269939E-10
  0.11793262E+01  0.22278235E-10
  0.12289732E+01  0.22286778E-10
  0.12807103E+01  0.22295572E-10
  0.13346254E+01  0.22304617E-10
  0.13908102E+01  0.22313912E-10
  0.14493603E+01  0.22323458E-10
  0.15103752E+01  0.22333252E-10
  0.15739587E+01  0.22343291E-10
  0.16402189E+01  0.22353570E-10
  0.17092686E+01  0.22364085E-10
  0.17812250E+01  0.22374827E-10
  0.18562107E+01  0.22385786E-10
  0.19343531E+01  0.22396953E-10
  0.20157852E+01  0.22408317E-10
  0.21006453E+01  0.22419869E-10
  0.21890779E+01  0.22431598E-10
  0.22812333E+01  0.22443494E-10
  0.23772682E+01  0.22455542E-10
  0.24773460E+01  0.22467728E-10
  0.25816369E+01  0.22480037E-10
  0.26903181E+01  0.22492454E-10
  0.28035747E+01  0.22504959E-10
  0.29215990E+01  0.22517536E-10
  0.30445920E+01  0.22530165E-10
  0.31727626E+01  0.22542826E-10
  0.33063290E+01  0.22555502E-10
  0.34455182E+01  0.22568162E-10
  0.35905670E+01  0.22580770E-10
  0.37417220E+01  0.22593281E-10
  0.38992403E+01  0.22605650E-10
  0.40633898E+01  0.22617824E-10
  0.42344497E+01  0.22629750E-10
  0.44127107E+01  0.22641366E-10
  0.45984762E+01  0.22652609E-10
  0.47920620E+01  0.22663409E-10
  0.49937974E+01  0.22673692E-10
  0.52040253E+01  0.22683379E-10
  0.54231034E+01  0.22692387E-10
  0.56514042E+01  0.22700629E-10
  0.58893160E+01  0.22708021E-10
  0.61372433E+01  0.22714473E-10
  0.63956078E+01  0.22719894E-10
  0.66648489E+01  0.22724193E-10
  0.69454245E+01  0.22727279E-10
  0.72378117E+01  0.22729063E-10
  0.75425078E+01  0.22729460E-10
  0.78600309E+01  0.22728390E-10
  0.81909210E+01  0.22725784E-10
  0.85357408E+01  0.22721577E-10
  0.88950769E+01  0.22715661E-10
  0.92695402E+01  0.22707891E-10
  0.96597676E+01  0.22698117E-10
  0.10066423E+02  0.22686186E-10
  0.10490197E+02  0.22671942E-10
  0.10931811E+02  0.22655227E-10
  0.11392017E+02  0.22635886E-10
  0.11871596E+02  0.22613790E-10
  0.12371364E+02  0.22588831E-10
  0.12892171E+02  0.22560921E-10
  0.13434904E+02  0.22529998E-10
  0.14000484E+02  0.22496030E-10
  0.14589873E+02  0.22459027E-10
  0.15204075E+02  0.22418975E-10
  0.15844134E+02  0.22375723E-10
  0.16511137E+02  0.22329102E-10
  0.17206220E+02  0.22278943E-10
  0.17930564E+02  0.22225083E-10
  0.18685402E+02  0.22167367E-10
  0.19472016E+02  0.22105651E-10
  0.20291745E+02  0.22039807E-10
  0.21145984E+02  0.21969723E-10
  0.22036183E+02  0.21895315E-10
  0.22963858E+02  0.21816535E-10
  0.23930587E+02  0.21733373E-10
  0.24938012E+02  0.21645807E-10
  0.25987848E+02  0.21553760E-10
  0.27081880E+02  0.21457177E-10
  0.28221967E+02  0.21356041E-10
  0.29410051E+02  0.21250359E-10
  0.30648149E+02  0.21140087E-10
  0.31938370E+02  0.21025171E-10
  0.33282905E+02  0.20905588E-10
  0.34684043E+02  0.20781344E-10
  0.36144165E+02  0.20652401E-10
  0.37665755E+02  0.20518667E-10
  0.39251401E+02  0.20380066E-10
  0.40903800E+02  0.20236535E-10
  0.42625760E+02  0.20088041E-10
  0.44420211E+02  0.19934617E-10
  0.46290205E+02  0.19776342E-10
  0.48238922E+02  0.19613337E-10
  0.50269675E+02  0.19445582E-10
  0.52385918E+02  0.19272919E-10
  0.54591251E+02  0.19095169E-10
  0.56889423E+02  0.18912224E-10
  0.59284344E+02  0.18724133E-10
  0.61780085E+02  0.18530998E-10
  0.64380892E+02  0.18332954E-10
  0.67091186E+02  0.18130068E-10
  0.69915579E+02  0.17922366E-10
  0.72858872E+02  0.17709862E-10
  0.75926071E+02  0.17492467E-10
  0.79122393E+02  0.17270016E-10
  0.82453272E+02  0.17042419E-10
  0.85924375E+02  0.16809880E-10
  0.89541603E+02  0.16572696E-10
  0.93311109E+02  0.16331021E-10
  0.97239303E+02  0.16084828E-10
  0.10133287E+03  0.15834063E-10
  0.10559876E+03  0.15578702E-10
  0.11004423E+03  0.15318737E-10
  0.11467686E+03  0.15054249E-10
  0.11950450E+03  0.14785455E-10
  0.12453538E+03  0.14512569E-10
  0.12977805E+03  0.14235740E-10
  0.13524142E+03  0.13955085E-10
  0.14093479E+03  0.13670575E-10
  0.14686783E+03  0.13382106E-10
  0.15305065E+03  0.13090094E-10
  0.15949375E+03  0.12795183E-10
  0.16620808E+03  0.12497163E-10
  0.17320508E+03  0.12195590E-10
  0.18049664E+03  0.11891431E-10
  0.18809515E+03  0.11585977E-10
  0.19601354E+03  0.11278439E-10
  0.20426529E+03  0.10968043E-10
  0.21286441E+03  0.10656339E-10
  0.22182553E+03  0.10344073E-10
  0.23116391E+03  0.10030788E-10
  0.24089540E+03  0.97167043E-11
  0.25103657E+03  0.94025806E-11
  0.26160466E+03  0.90890233E-11
  0.27261765E+03  0.87762613E-11
  0.28409425E+03  0.84643829E-11
  0.29605400E+03  0.81540291E-11
  0.30851723E+03  0.78457267E-11
  0.32150513E+03  0.75397733E-11
  0.33503979E+03  0.72365293E-11
  0.34914423E+03  0.69366010E-11
  0.36384244E+03  0.66405098E-11
  0.37915941E+03  0.63484924E-11
  0.39512120E+03  0.60608024E-11
  0.41175493E+03  0.57782026E-11
  0.42908892E+03  0.55010951E-11
  0.44715262E+03  0.52296757E-11
  0.46597677E+03  0.49643124E-11
  0.48559337E+03  0.47051404E-11
  0.50603579E+03  0.44529170E-11
  0.52733880E+03  0.42077814E-11
  0.54953861E+03  0.39697672E-11
  0.57267298E+03  0.37393716E-11
  0.59678126E+03  0.35167951E-11
  0.62190445E+03  0.33021300E-11
  0.64808527E+03  0.30954251E-11
  0.67536824E+03  0.28968944E-11
  0.70379977E+03  0.27066287E-11
  0.73342820E+03  0.25246346E-11
  0.76430392E+03  0.23509256E-11
  0.79647945E+03  0.21854410E-11
  0.83000949E+03  0.20281485E-11
  0.86495108E+03  0.18789667E-11
  0.90136363E+03  0.17377783E-11
  0.93930906E+03  0.16044906E-11
  0.97885192E+03  0.14788361E-11
  0.10200594E+04  0.13606713E-11
  0.10630017E+04  0.12497995E-11
  0.11077518E+04  0.11460081E-11
  0.11543857E+04  0.10490757E-11
  0.12029828E+04  0.95863597E-12
  0.12536258E+04  0.87450516E-12
  0.13064007E+04  0.79640585E-12
  0.13613973E+04  0.72407455E-12
  0.14187091E+04  0.65723044E-12
  0.14784337E+04  0.59551582E-12
  0.15406725E+04  0.53870085E-12
  0.16055315E+04  0.48650151E-12
  0.16731208E+04  0.43864350E-12
  0.17435555E+04  0.39489165E-12
  0.18169554E+04  0.35489260E-12
  0.18934453E+04  0.31843538E-12
  0.19731552E+04  0.28526472E-12
  0.20562207E+04  0.25516004E-12
  0.21427831E+04  0.22788896E-12
  0.22329896E+04  0.20321979E-12
  0.23269936E+04  0.18093366E-12
  0.24249549E+04  0.16084653E-12
  0.25270402E+04  0.14278518E-12
  0.26334231E+04  0.12656979E-12
  0.27442844E+04  0.11203591E-12
  0.28598128E+04  0.99024438E-13
  0.29802047E+04  0.87399883E-13
  0.31056648E+04  0.77036202E-13
  0.32364065E+04  0.67809665E-13
  0.33726521E+04  0.59607709E-13
  0.35146334E+04  0.52329235E-13
  0.36625918E+04  0.45880308E-13
  0.38167789E+04  0.40174545E-13
  0.39774570E+04  0.35134617E-13
  0.41448992E+04  0.30689906E-13
  0.43193904E+04  0.26775948E-13
  0.45012273E+04  0.23333646E-13
  0.46907191E+04  0.20310461E-13
  0.48881882E+04  0.17659416E-13
  0.50939702E+04  0.15337579E-13
  0.53084152E+04  0.13306306E-13
  0.55318879E+04  0.11532594E-13
  0.57647683E+04  0.99850917E-14
  0.60074524E+04  0.86365859E-14
  0.62603530E+04  0.74630411E-14
  0.65239002E+04  0.64428905E-14
  0.67985421E+04  0.55566447E-14
  0.70847459E+04  0.47880343E-14
  0.73829982E+04  0.41222795E-14
  0.76938063E+04  0.35459419E-14
  0.80176987E+04  0.30475568E-14
  0.83552263E+04  0.26169609E-14
  0.87069631E+04  0.22452230E-14
  0.90735072E+04  0.19247705E-14
  0.94554820E+04  0.16488572E-14
  0.98535372E+04  0.14112899E-14
  0.10268350E+05  0.12070512E-14
  0.10700625E+05  0.10315695E-14
  0.11151098E+05  0.88081552E-15
  0.11620534E+05  0.75159308E-15
  0.12109733E+05  0.64082351E-15
  0.12619527E+05  0.54600040E-15
  0.13150781E+05  0.46488874E-15
  0.13704400E+05  0.39550481E-15
  0.14281326E+05  0.33623199E-15
  0.14882538E+05  0.28561802E-15
  0.15509061E+05  0.24247410E-15
  0.16161958E+05  0.20570550E-15
  0.16842341E+05  0.17439027E-15
  0.17551367E+05  0.14773965E-15
  0.18290241E+05  0.12509368E-15
  0.19060220E+05  0.10584126E-15
  0.19862614E+05  0.89478935E-16
  0.20698787E+05  0.75609584E-16
  0.21570160E+05  0.63855575E-16
  0.22478217E+05  0.53886783E-16
  0.23424501E+05  0.45452138E-16
  0.24410621E+05  0.38327243E-16
  0.25438255E+05  0.32284394E-16
  0.26509150E+05  0.27183768E-16
  0.27625127E+05  0.22882283E-16
  0.28788085E+05  0.19242531E-16
  0.30000000E+05  0.16176712E-16
  Principal QN n  Azimuthal QN l
               2               0
 Electron Energy Probability dst
  0.10000000E+01  0.50506341E-09
  0.10420978E+01  0.50588638E-09
  0.10859679E+01  0.50673815E-09
  0.11316847E+01  0.50761931E-09
  0.11793262E+01  0.50853058E-09
  0.12289732E+01  0.50947263E-09
  0.12807103E+01  0.51044616E-09
  0.13346254E+01  0.51145182E-09
  0.13908102E+01  0.51249026E-09
  0.14493603E+01  0.51356207E-09
  0.15103752E+01  0.51466785E-09
  0.15739587E+01  0.51580812E-09
  0.16402189E+01  0.51698336E-09
  0.17092686E+01  0.51819404E-09
  0.17812250E+01  0.51944063E-09
  0.18562107E+01  0.52072359E-09
  0.19343531E+01  0.52204337E-09
  0.20157852E+01  0.52340035E-09
  0.21006453E+01  0.52479489E-09
  0.21890779E+01  0.52622732E-09
  0.22812333E+01  0.52769790E-09
  0.23772682E+01  0.52920679E-09
  0.24773460E+01  0.53075332E-09
  0.25816369E+01  0.53233604E-09
  0.26903181E+01  0.53395309E-09
  0.28035747E+01  0.53560210E-09
  0.29215990E+01  0.53728050E-09
  0.30445920E+01  0.53898742E-09
  0.31727626E+01  0.54072295E-09
  0.33063290E+01  0.54248742E-09
  0.34455182E+01  0.54428147E-09
  0.35905670E+01  0.54610474E-09
  0.37417220E+01  0.54795328E-09
  0.38992403E+01  0.54982176E-09
  0.40633898E+01  0.55170385E-09
  0.42344497E+01  0.55359209E-09
  0.44127107E+01  0.55548024E-09
  0.45984762E+01  0.55736433E-09
  0.47920620E+01  0.55924046E-09
  0.49937974E+01  0.56110465E-09
  0.52040253E+01  0.56295302E-09
  0.54231034E+01  0.56478137E-09
  0.56514042E+01  0.56658254E-09
  0.58893160E+01  0.56834725E-09
  0.61372433E+01  0.57006523E-09
  0.63956078E+01  0.57172515E-09
  0.66648489E+01  0.57331485E-09
  0.69454245E+01  0.57482423E-09
  0.72378117E+01  0.57624466E-09
  0.75425078E+01  0.57756775E-09
  0.78600309E+01  0.57878541E-09
  0.81909210E+01  0.57988821E-09
  0.85357408E+01  0.58086135E-09
  0.88950769E+01  0.58168816E-09
  0.92695402E+01  0.58235079E-09
  0.96597676E+01  0.58283081E-09
  0.10066423E+02  0.58311185E-09
  0.10490197E+02  0.58317834E-09
  0.10931811E+02  0.58301489E-09
  0.11392017E+02  0.58260571E-09
  0.11871596E+02  0.58193464E-09
  0.12371364E+02  0.58098672E-09
  0.12892171E+02  0.57974978E-09
  0.13434904E+02  0.57821308E-09
  0.14000484E+02  0.57635970E-09
  0.14589873E+02  0.57416934E-09
  0.15204075E+02  0.57162373E-09
  0.15844134E+02  0.56871004E-09
  0.16511137E+02  0.56541905E-09
  0.17206220E+02  0.56174235E-09
  0.17930564E+02  0.55766416E-09
  0.18685402E+02  0.55316824E-09
  0.19472016E+02  0.54824190E-09
  0.20291745E+02  0.54287998E-09
  0.21145984E+02  0.53708324E-09
  0.22036183E+02  0.53085077E-09
  0.22963858E+02  0.52417429E-09
  0.23930587E+02  0.51704921E-09
  0.24938012E+02  0.50948472E-09
  0.25987848E+02  0.50150082E-09
  0.27081880E+02  0.49309475E-09
