1_0,2_0,2_1,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,E
1.0131066e-14,2.5385091e-13,1.4179232e-12,3.745613e-12,1.9317961e-11,6.8757561e-12,4.2720228e-11,2.0974807e-10,2.1157779e-09,4.9376553e-10,5.173118e-07,1.0
1.0133886e-14,2.5392905e-13,1.424572e-12,3.7467808e-12,1.9411906e-11,6.9507445e-12,4.2726904e-11,2.0962904e-10,2.1242818e-09,4.8510364e-10,5.1034044e-07,1.0456357
1.0136812e-14,2.540099e-13,1.4314608e-12,3.7479776e-12,1.9508501e-11,7.0335158e-12,4.2733565e-11,2.0950438e-10,2.133447e-09,4.7620618e-10,5.0312696e-07,1.093354
1.0139846e-14,2.5409353e-13,1.4385951e-12,3.7492028e-12,1.9607731e-11,7.1247741e-12,4.2740185e-11,2.0937383e-10,2.1433347e-09,4.6707432e-10,4.9566886e-07,1.1432499
1.0142991e-14,2.5417997e-13,1.4459798e-12,3.7504555e-12,1.9709572e-11,7.2252795e-12,4.2746735e-11,2.092371e-10,2.1540126e-09,4.5770995e-10,4.8796456e-07,1.1954229
1.0146249e-14,2.5426927e-13,1.4536198e-12,3.7517345e-12,1.9813988e-11,7.3358522e-12,4.2753181e-11,2.0909388e-10,2.1655556e-09,4.4811576e-10,4.8001328e-07,1.2499768
1.0149624e-14,2.5436145e-13,1.4615196e-12,3.7530385e-12,1.992093e-11,7.4573761e-12,4.2759487e-11,2.0894384e-10,2.1780468e-09,4.3829524e-10,4.7181414e-07,1.3070204
1.0153117e-14,2.5445655e-13,1.4696832e-12,3.7543661e-12,2.0030335e-11,7.5908025e-12,4.276561e-11,2.0878665e-10,2.1915783e-09,4.2825269e-10,4.6336676e-07,1.3666671
1.0156731e-14,2.5455458e-13,1.4781141e-12,3.7557152e-12,2.0142125e-11,7.7371539e-12,4.2771508e-11,2.0862196e-10,2.2062521e-09,4.1799325e-10,4.5467175e-07,1.4290359
1.0160467e-14,2.5465557e-13,1.4868155e-12,3.7570838e-12,2.0256206e-11,7.8975281e-12,4.2777129e-11,2.0844937e-10,2.2221819e-09,4.0752327e-10,4.4573062e-07,1.4942509
1.0164329e-14,2.547595e-13,1.4957898e-12,3.7584694e-12,2.0372466e-11,8.0731015e-12,4.278242e-11,2.082685e-10,2.2394942e-09,3.9685129e-10,4.3654599e-07,1.5624421
1.0168317e-14,2.5486637e-13,1.5050386e-12,3.7598693e-12,2.0490775e-11,8.2651332e-12,4.2787321e-11,2.0807892e-10,2.2583312e-09,3.8598736e-10,4.2712187e-07,1.6337452
1.0172432e-14,2.5497616e-13,1.5145628e-12,3.7612801e-12,2.0610983e-11,8.4749678e-12,4.2791769e-11,2.0788021e-10,2.2788513e-09,3.7494285e-10,4.1746392e-07,1.7083022
1.0176677e-14,2.5508884e-13,1.5243626e-12,3.7626985e-12,2.0732917e-11,8.7040391e-12,4.2795692e-11,2.0767193e-10,2.3012317e-09,3.6373045e-10,4.0757965e-07,1.7862617
1.0181051e-14,2.5520434e-13,1.5344368e-12,3.7641204e-12,2.0856386e-11,8.9538723e-12,4.2799015e-11,2.0745364e-10,2.3256704e-09,3.5236418e-10,3.9747845e-07,1.867779
1.0185555e-14,2.5532262e-13,1.5447833e-12,3.7655415e-12,2.0981174e-11,9.2260861e-12,4.2801657e-11,2.0722488e-10,2.3523885e-09,3.4085936e-10,3.8717122e-07,1.9530164
1.0190189e-14,2.5544358e-13,1.5553988e-12,3.7669567e-12,2.1107039e-11,9.5223942e-12,4.280353e-11,2.0698518e-10,2.3816339e-09,3.2923246e-10,3.7667054e-07,2.0421436
1.0194952e-14,2.5556711e-13,1.5662784e-12,3.7683609e-12,2.1233719e-11,9.8446053e-12,4.2804543e-11,2.0673401e-10,2.4136839e-09,3.175016e-10,3.6598886e-07,2.1353382
1.0199844e-14,2.5569309e-13,1.5774158e-12,3.769748e-12,2.1360925e-11,1.0194623e-11,4.2804599e-11,2.0647086e-10,2.4488495e-09,3.0568761e-10,3.5513914e-07,2.2327858
1.0204862e-14,2.5582136e-13,1.5888031e-12,3.7711118e-12,2.1488344e-11,1.0574441e-11,4.2803593e-11,2.0619517e-10,2.4874793e-09,2.9381292e-10,3.4413592e-07,2.3346805
1.0210003e-14,2.5595175e-13,1.6004303e-12,3.7724452e-12,2.1615641e-11,1.0986143e-11,4.2801418e-11,2.0590638e-10,2.5299649e-09,2.8190117e-10,3.3299507e-07,2.4412252
1.0215266e-14,2.5608404e-13,1.6122855e-12,3.7737409e-12,2.1742457e-11,1.1431892e-11,4.2797959e-11,2.0560391e-10,2.5767458e-09,2.6997691e-10,3.2173439e-07,2.5526322
1.0220645e-14,2.5621799e-13,1.6243547e-12,3.7749907e-12,2.1868412e-11,1.1913923e-11,4.27931e-11,2.0528716e-10,2.6283229e-09,2.5806528e-10,3.1037584e-07,2.6691232
1.0226135e-14,2.5635332e-13,1.6366213e-12,3.7761862e-12,2.199311e-11,1.2434532e-11,4.2786717e-11,2.0495552e-10,2.6852887e-09,2.4619157e-10,2.9894416e-07,2.7909305
1.0231731e-14,2.5648972e-13,1.6490663e-12,3.7773182e-12,2.211614e-11,1.2996055e-11,4.2778687e-11,2.0460837e-10,2.7483234e-09,2.3438365e-10,2.8746631e-07,2.9182965
1.0237426e-14,2.5662684e-13,1.6616677e-12,3.7783772e-12,2.2237083e-11,1.3600851e-11,4.2768885e-11,2.0424508e-10,2.8182001e-09,2.226742e-10,2.7596958e-07,3.0514749
1.024321e-14,2.5676428e-13,1.6744008e-12,3.7793533e-12,2.2355519e-11,1.4251274e-11,4.2757185e-11,2.0386501e-10,2.8957985e-09,2.1109677e-10,2.6447849e-07,3.190731
1.0249075e-14,2.5690158e-13,1.6872373e-12,3.7802359e-12,2.2471031e-11,1.4949638e-11,4.2743465e-11,2.0346753e-10,2.9821194e-09,1.9968482e-10,2.5301605e-07,3.3363422
1.025501e-14,2.5703827e-13,1.7001459e-12,3.7810146e-12,2.2583224e-11,1.5698176e-11,4.2727608e-11,2.0305196e-10,3.0783022e-09,1.8847088e-10,2.4160472e-07,3.4885984
1.0261001e-14,2.5717379e-13,1.7130912e-12,3.7816786e-12,2.2691732e-11,1.6498992e-11,4.2709507e-11,2.0261752e-10,3.1856444e-09,1.7748578e-10,2.3026772e-07,3.647803
