"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/12/18, 4:14:04 PM"


26
u,s
-0.00603318,0.114911,
0.123680,0.0672453,
0.310709,0.0368361,
0.503771,0.0226097,
0.699849,0.0174234,
0.895928,0.0149894,
1.24887,0.0134267,
1.65309,0.0120711,
2.07541,0.0103849,
2.43439,0.00867569,
2.68175,0.00740916,
3.01961,0.00583673,
3.32730,0.00439992,
3.66817,0.00311620,
3.90347,0.00232337,
4.29261,0.00146855,
4.59125,0.00108293,
4.91403,0.000859389,
5.15837,0.000795645,
5.52941,0.000784050,
5.99095,0.000865720,
6.47662,0.000945430,
7.02564,0.00100261,
8.31976,0.00103628,
9.08296,0.00107501,
10.0060,0.00114842,
