"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/12/18, 4:21:27 PM"


34
u,s
0.00603318,0.00149575,
0.111614,0.00129628,
0.226244,0.00113169,
0.361991,0.00104391,
0.530920,0.000840672,
0.687783,0.000710085,
0.811463,0.000633726,
1.00151,0.000610890,
1.19457,0.000613137,
1.41780,0.000638395,
1.73152,0.000655007,
2.13575,0.000631405,
2.50980,0.000576052,
2.95023,0.000486570,
3.24284,0.000410988,
3.49020,0.000339586,
3.71342,0.000276500,
3.91855,0.000224309,
4.03620,0.000196548,
4.15686,0.000172223,
4.42836,0.000121528,
4.68175,9.57367e-05,
4.89593,8.41965e-05,
5.13424,8.38881e-05,
5.36048,9.46884e-05,
5.58673,0.000110874,
5.90347,0.000137175,
6.32278,0.000175412,
6.82051,0.000217021,
7.42986,0.000256932,
8.11463,0.000296468,
8.86878,0.000330974,
9.52338,0.000364110,
10,0.000396179,
