"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/12/18, 4:16:32 PM"


29
u,s
-0.00301659,0.00575168,
0.168929,0.00371645,
0.389140,0.00216688,
0.518854,0.00180361,
0.642534,0.00161558,
0.838612,0.00155737,
1.09201,0.00155737,
1.62293,0.00160966,
2.02413,0.00156884,
2.41327,0.00142606,
2.76018,0.00124957,
3.07692,0.00105160,
3.41176,0.000834524,
3.68929,0.000645462,
3.99095,0.000493766,
4.32579,0.000361448,
4.63047,0.000275487,
4.93514,0.000229303,
5.21870,0.000213859,
5.53544,0.000225134,
6.01207,0.000268500,
6.46757,0.000328553,
7.01659,0.000399097,
7.55958,0.000452136,
8.13876,0.000497403,
8.61840,0.000527485,
9.02564,0.000557337,
9.48416,0.000599783,
9.99698,0.000650217,
